ID,Name,Center,CategoryId,CategoryName,SellingPrice,CostPrice,QtyInStock,QtyReceived,BarVisible,RestaurantVisible,COSPercent,GPAmount,GPPercent,Notes,TotalValue,TotalCost,Margin
ITEM_1775475672631,Diemersfontein Shiraz,bar,CAT_1775468591726,Red Wines,30,0,0,0,Yes,No,31.57,20.53,68.43,,0,0,0
ITEM_1773156811910,Fanta,bar,CAT_1775468724190,Soft Drinks,1,0,0,0,Yes,No,43,0.57,57,,0,0,0
ITEM_1775419936620,Fanta can,bar,CAT_1773150455368,Soft Drinks,1,0,0,0,Yes,No,43,0.57,57,,0,0,0
ITEM_1775476910115,Fanta Grape Can,bar,CAT_1775468724190,Soft Drinks,1,0,0,0,Yes,No,46,0.54,54,,0,0,0
ITEM_1775472127454,Flyfish,bar,CAT_1775468441296,Imported Beers,2,0,0,0,Yes,No,65,0.7,35,,0,0,0
ITEM_1775479108414,Four Cousins Natuarl Sweet Rose,bar,CAT_1775468622911,Rose Wines,20,0,0,0,Yes,No,28,14.4,72,,0,0,0
ITEM_1775476013059,Four Cousins Rose,bar,CAT_1775468622911,Rose Wines,20,0,0,0,Yes,No,28,14.4,72,,0,0,0
ITEM_1775475590004,Four Cousins Sweet Red,bar,CAT_1775468591726,Red Wines,20,0,0,0,Yes,No,28,14.4,72,,0,0,0
ITEM_1775725880844,Gango,restaurant,CAT_1773150367197,Mains,6,0,0,0,No,No,0,0,0,,0,0,0
ITEM_1775474125015,Ginger Ale,bar,CAT_1775468564094,Mixers,1,0,0,0,Yes,No,49,0.51,51,,0,0,0
ITEM_1775475725974,Glen Carlou Pinot Noir,bar,CAT_1775468591726,Red Wines,40,0,0,0,Yes,No,35.6,25.76,64.4,,0,0,0
ITEM_1775478451713,Glenfidich 12 yrs,bar,CAT_1773150520728,Whiskey,5,0,0,0,Yes,No,38,3.1,62,,0,0,0
ITEM_1775725102624,Goat Meat,restaurant,CAT_1773150367197,Mains,6,0,0,0,No,Yes,39.67,3.62,60.33,,0,0,0
ITEM_1775473527217,Golden Pilsner,bar,CAT_1775468530499,Local Beers,2,0,0,0,Yes,No,32.5,1.35,67.5,,0,0,0
ITEM_1775471692635,Gordons Gin,bar,CAT_1775468420397,Gin,2,0,0,0,Yes,No,16.5,1.67,83.5,,0,0,0
ITEM_1775478215694,Grants Whiskey,bar,CAT_1773150520728,Whiskey,2,0,0,0,Yes,No,26,1.48,74,,0,0,0
ITEM_1773169597824,Hake Fillet,restaurant,CAT_1773150367197,Mains,10,0,0,0,No,Yes,30,7,70,,0,0,0
ITEM_1775472342450,Hansa Pilsner,bar,CAT_1775468441296,Imported Beers,2,0,0,0,Yes,No,65,0.7,35,,0,0,0
ITEM_1775472466707,Heinken Origional,bar,CAT_1775468441296,Imported Beers,3,0,0,0,Yes,No,38.33,1.85,61.67,,0,0,0
ITEM_1775471840039,Heinken Silver,bar,CAT_1775468441296,Imported Beers,3,0,0,0,Yes,No,45,1.65,55,,0,0,0
ITEM_1775464719201,Hunters Dry,bar,CAT_1775468367784,Ciders,2,0,0,0,Yes,No,45,1.1,55,,0,0,0
ITEM_1775464803101,Hunters Gold,bar,CAT_1775468367784,Ciders,2,0,0,0,Yes,No,45,1.1,55,,0,0,0
ITEM_1775475859743,Inkara Merlot,bar,CAT_1775468591726,Red Wines,40,0,0,0,Yes,No,40.15,23.94,59.85,,0,0,0
ITEM_1775473271118,Jagermeister,bar,CAT_1775468495268,Liqueur,2,0,0,0,Yes,No,47.5,1.05,52.5,,0,0,0
ITEM_1775478139883,Jameson Irish Whiskey,bar,CAT_1773150520728,Whiskey,3,0,0,0,Yes,No,29,2.13,71,,0,0,0
ITEM_1775477387014,JC Le Roux Le Domain,bar,CAT_1775468744538,Sparkling Wines,25,0,0,0,Yes,No,21.68,19.58,78.32,,0,0,0
ITEM_1775478309204,John Walker Black,bar,CAT_1773150520728,Whiskey,3,0,0,0,Yes,No,44,1.68,56,,0,0,0
ITEM_1775478387264,John Walker Red,bar,CAT_1773150520728,Whiskey,2,0,0,0,Yes,No,32,1.36,68,,0,0,0
ITEM_1775472904396,Juices,bar,CAT_1775468467033,Juices,5,0,0,0,Yes,No,39.2,3.04,60.8,,0,0,0
ITEM_1775469843676,Klipdrft,bar,CAT_1775469148793,Brandy,2,0,0,0,Yes,No,18,1.64,82,,0,0,0
ITEM_1775474213292,Lemonade,bar,CAT_1775468564094,Mixers,1,0,0,0,Yes,No,49,0.51,51,,0,0,0
ITEM_1775725336218,Maguru NeMatumbu,restaurant,CAT_1773150367197,Mains,6,0,0,0,No,Yes,38.33,3.7,61.67,,0,0,0
ITEM_1775727820993,Mapfunde (Sadza),restaurant,CAT_1773150397389,Ala-Carte,3,0,0,0,No,Yes,10,2.7,90,,0,0,0
ITEM_1775478698542,Mapfura Wine,bar,CAT_1775468856763,White Wine,10,0,0,0,Yes,No,50,5,50,,0,0,0
